"Interest1","Interest2","Interest3","Career"
Photographer,Designing,Art,VFX Designer
Direction,Dramatics,Drawing,VFX Designer
Web Design,Film Making,Animation,VFX Designer
Public Speaking,Extempores,Debates,Event Management
Photographer,Business,Desiging,Event Management
Entrepreneurship,Direction,Debates,Event Management
Public Speaking,Extempores,Direction,Event Management
Photographer,Direction,Direction,Event Management
Public Speaking,Debates,Business,Event Management
Direction,Business,Entrepreneurship,Event Management
